Cycle_Index,Step_Index,Test_Time_s,Current_A,Voltage_V,Temperature_C
0,2,240.05,0.1908904,4.199893,11.82125
0,2,241.05,0.1908904,4.19974,11.82125
0,2,242.05,0.1904326,4.200046,11.82125
0,2,243.05,0.1907378,4.199893,11.82125
0,2,244.05,0.1896696,4.199893,11.82125
0,2,245.05,0.1898222,4.200046,11.82125
0,2,246.05,0.1879912,4.199893,11.82125
0,2,247.05,0.1881437,4.200046,11.82125
0,2,248.05,0.187686,4.199893,11.80423
0,2,249.05,0.1870756,4.200198,11.80423
0,2,250.05,0.187686,4.200046,11.80423
0,2,251.05,0.1872282,4.199893,11.80423
0,2,252.05,0.1866178,4.200046,11.80423
0,2,253.05,0.1855497,4.199893,11.80423
0,2,254.05,0.1853971,4.200046,11.80423
0,2,255.05,0.1857023,4.200046,11.80423
0,2,256.05,0.1840238,4.199893,11.80423
0,2,257.05,0.1838712,4.200046,11.80423
0,2,258.05,0.1840238,4.200046,11.80423
0,2,259.05,0.1828031,4.200198,11.80423
0,2,260.05,0.1831083,4.200046,11.80423
0,2,261.05,0.1823453,4.199893,11.7872
0,2,262.05,0.1823453,4.199893,11.7872
0,2,263.05,0.1817349,4.199893,11.7872
0,2,264.05,0.1821927,4.200046,11.7872
0,2,265.05,0.1828031,4.200046,11.7872
0,2,266.05,0.1818875,4.200046,11.7872
0,2,267.05,0.1803616,4.200046,11.7872
0,2,268.05,0.1811246,4.200046,11.77017
0,2,269.05,0.1808194,4.200046,11.77017
0,2,270.05,0.1792935,4.200046,11.77017
0,2,271.05,0.1797513,4.200046,11.77017
0,2,272.05,0.1788357,4.199893,11.77017
0,2,273.05,0.1785306,4.200046,11.77017
0,2,274.05,0.1780728,4.200046,11.77017
0,2,275.05,0.1779202,4.199893,11.77017
0,2,276.05,0.1773098,4.200046,11.77017
0,2,277.05,0.1774624,4.200046,11.75315
0,2,278.05,0.1765469,4.199893,11.75315
0,2,279.05,0.1762417,4.200046,11.75315
0,2,280.05,0.1760891,4.200046,11.75315
0,2,281.05,0.1768521,4.200046,11.75315
0,2,282.05,0.1760891,4.199893,11.75315
0,2,283.05,0.1756313,4.200046,11.75315
0,2,284.05,0.1754788,4.200046,11.73612
0,2,285.05,0.1748684,4.200198,11.73612
0,2,286.05,0.175021,4.199893,11.75315
0,2,287.05,0.174258,4.200046,11.73612
0,2,288.05,0.1734951,4.200046,11.73612
0,2,289.05,0.1736477,4.199893,11.75315
0,2,290.05,0.1738003,4.199893,11.75315
0,2,291.05,0.1734951,4.200046,11.73612
0,2,292.05,0.1719692,4.200046,11.73612
0,2,293.05,0.1734951,4.200046,11.73612
0,2,294.05,0.1728847,4.199893,11.73612
0,2,295.05,0.172427,4.200046,11.73612
0,2,296.05,0.1707485,4.200046,11.71909
0,2,297.05,0.170901,4.199893,11.71909
0,2,298.05,0.1705959,4.199893,11.71909
0,2,299.05,0.1693751,4.200046,11.71909
0,2,300.05,0.1693751,4.199893,11.71909
0,2,301.05,0.1702907,4.199893,11.70207
0,2,302.05,0.1695277,4.199893,11.70207
0,2,303.05,0.1698329,4.200046,11.70207
0,2,304.05,0.1684596,4.199893,11.70207
0,2,305.05,0.1675441,4.200046,11.70207
0,2,306.05,0.1672389,4.200046,11.71909
0,2,307.05,0.1681544,4.199893,11.70207
0,2,308.05,0.1680018,4.199893,11.70207
0,2,309.05,0.1672389,4.199893,11.70207
0,2,310.05,0.1664759,4.200046,11.70207
0,2,311.05,0.1663233,4.200046,11.70207
0,2,312.05,0.1669337,4.200046,11.68504
0,2,313.05,0.1658656,4.199893,11.68504
0,2,314.05,0.1666285,4.200046,11.68504
0,2,315.05,0.1654078,4.200046,11.68504
0,2,316.05,0.1647974,4.200046,11.68504
0,2,317.05,0.1646449,4.199893,11.68504
0,2,318.05,0.1647974,4.199893,11.68504
0,2,319.05,0.1643397,4.199893,11.68504
0,2,320.05,0.1635767,4.200198,11.68504
0,2,321.05,0.1629664,4.200046,11.68504
0,2,322.05,0.1629664,4.199893,11.68504
0,2,323.05,0.1632715,4.200046,11.68504
0,2,324.05,0.162356,4.200046,11.68504
0,2,325.05,0.1625086,4.199893,11.68504
0,2,326.05,0.1614404,4.199893,11.68504
0,2,327.05,0.1618982,4.200046,11.68504
0,2,328.05,0.1612879,4.200198,11.68504
0,2,329.05,0.1609827,4.199893,11.66801
0,2,330.05,0.1614404,4.199893,11.66801
0,2,331.05,0.1617456,4.199893,11.66801
